path,action,notes
AI/nextSteps.md,created,new file — nextSteps.md template following new doc maintenance standard
CODING_STANDARDS.md,modified,added Section 10 — AI/nextSteps.md Maintenance Standard
.github/copilot-instructions.md,modified,added doc maintenance guardrails block before Git Commit Format section
AI/CHANGES.csv,modified,session C tracking rows
AI/COMMANDS.sh,modified,session C commands
AI/WORKLOG.md,modified,session C entry prepended
AI/COMMIT_INFO.txt,modified,session C commit record
CODING_STANDARDS.md,modified,added Section 11 — spec-kitty Feature Development Workflow (§11.1-§11.7)
.github/copilot-instructions.md,modified,added spec-kitty workflow block between doc maintenance and Git Commit Format sections
AI/WORKLOG.md,modified,session D entry prepended
AI/CHANGES.csv,modified,session D tracking rows
AI/COMMANDS.sh,modified,session D commands
AI/COMMIT_INFO.txt,modified,session D commit record
.github/workflows/codeql.yml,modified,added paths filter (src/** **.cs **.js **.ts **.jsx **.tsx); removed schedule cron; upgraded codeql-action v3→v4; added TEMPLATE NOTE block
AI/WORKLOG.md,modified,added session G entry (CodeQL fix); backfilled sessions E and F
AI/CHANGES.csv,modified,session G tracking rows
AI/COMMANDS.sh,modified,session G commands
AI/COMMIT_INFO.txt,modified,session G commit record
